# 손으로 쓴 개별 축약 — `id <TAB> 번역문`
# 자동 규칙(fix_tsv.py)으로는 예산에 못 넣는 행을 하나씩 다시 쓴다.
# ★축약 단계 «전»에 적용되므로, 여기 쓴 문장이 예산에 맞으면 자동 규칙이 건드리지 않는다.
# ⚠개행은 반드시 «백슬래시 + n» 두 글자로 쓴다. 진짜 줄바꿈을 넣으면 파일이 깨진다.
# 검사: python tools/build_all.py  ->  work/build_errors.txt
#
# --- 05_아이템명 : 속성·설명 라벨 ---
SYS01814	저주 안 받음
SYS00794	아주머니 적청
SYS00795	아주머니 록황
SYS00796	아주머니 청
SYS00797	아주머니 연자
SYS00798	아주머니 백
SYS00799	아주머니 금
SYS00805	할아버지 청갈
SYS00806	할아버지 녹
SYS00807	졸부
SYS00808	졸부 수
SYS00809	졸부 록
SYS00810	점쟁이
SYS00811	점쟁이 녹록
SYS00812	점쟁이 도청
SYS00813	점쟁이 암청
SYS00814	점쟁이 갈
SYS00815	점쟁이 백
SYS00818	보관인
SYS00819	개 흑
SYS00820	개 수회
SYS00821	파발
SYS00822	파발 적휘
SYS00824	닌자남자애
SYS00825	닌자남자애 도벚
SYS00826	닌자남자애 변
SYS00830	선생 청회
SYS00831	선생 진갈
SYS00832	선생 갈록
SYS00836	신관 록도
SYS00837	주민A
SYS00838	주민A
SYS00839	주민A 흑회
SYS00840	주민A 갈청
SYS00841	주민A 갈자
SYS00842	주민A 록황
SYS00843	주민A 자록
SYS00846	마타기 청수
SYS00847	마타기 적록
SYS00848	갓녀
SYS00849	갓녀 청적
SYS00850	여풍래인
SYS00851	여풍래인
SYS00852	여풍래인 록갈
SYS00853	여풍래인 마자
SYS00858	세입
SYS00862	미나모 쿠나이
SYS00863	약초다발
SYS00865	칠천경 경비병
SYS00866	숲의 문지기
SYS00867	정체불명
#
# --- 04_몬스터 : 도감 설명문 ---
SYS00869	도적번은 그 점주를 화나게 했을 때보다 무섭다는\n소문입니다 도둑에겐 두말없이 십수의\n제재가 가해집니다 무시무시한 공격력이\n든든한 도적번의 에레키상자는 당신의\n어떤 여행에도 든든한 아군이 될 겁니다\n
SYS00873	꿈틀꿈틀 허니는 레벨을 낮추는 춤에 능\n합니다 상대에 따라선 레벨이 낮아져\n모습까지 변하기도 합니다 드레인\n방지 팔찌로 막을 수 있습니다 본인은\n레벨이 안 변합니다 이 초현실적인\n모습과 공허한 눈빛의 퇴폐적이고 신비로\n운 꿈틀꿈틀 허니의 에레키상자는 예술을\n사랑하는 당신에게 딱입니다\n
SYS00884	데부초는 돼지 모습의 몬스터입니다 파란색\n어깨 보호구와 초록 손목밴드가 특징입니다\n데부타 계열 중 두 번째로 강하며 데부타의\n돌을 무한히 쓸 수 있고 던지는 솜씨도 좋아\n5칸 앞까지라면 어느 위치의 적에게도 돌을\n던져 공격합니다 콧김 공격도 인상적인\n데부초의 에레키상자는 여행을\n경쾌하고 유쾌하게 만들어줄 겁니다\n
SYS00885	데부톤은 돼지 모습의 몬스터입니다 적자색\n어깨 보호구와 파란 손목밴드가 특징입니다\n데부타 계열 중 최강입니다 데부타의 돌을\n무한히 쓸 수 있고 던지는 솜씨도 뛰어나\n10칸 앞까지라면 방 밖의 적에게조차 돌을 던져\n공격할 수 있습니다 콧김 공격도 인상적인\n데부톤의 에레키상자는 여행을 통쾌하고\n상쾌하게 만들어줄 겁니다\n
SYS00886	드래곤은 이국의 용 몬스터입니다 드래곤 계열\n중 가장 약하지만 거대한 초록 몸에\n짙은 남색 날개가 특징이며 굵고 긴 꼬리의 일\n격이 강렬한 파괴력을 지닙니다 멀리 있는\n적에게는 입에서 불꽃을 내뿜어 공격합니다\n드래곤의 에레키상자는 전설의 장인 카라\n마츠 옹의 작품 그 이름에 부끄럽지 않은 대활\n약을 약속합니다\n
SYS00887	스카이드래곤은 이국의 용 몬스터입니다 가장\n두려운 드래곤 계열 중 두 번째로\n강하며 거대한 적자색 몸과 짙은 남색 날개가\n특징으로 굵고 긴 꼬리의 일격은 격렬한 파괴력\n을 지닙니다 멀리 있는 적에게는 방 안 어느 위\n치에서든 불꽃을 내뿜어 공격합니다\n스카이드래곤의 에레키상자는 이름에 부\n끄럽지 않은 대활약을 약속합니다\n
SYS00889	토도 계열 중 가장 약한 보라 토도는 수중\n속성입니다 복면 수건을 쓰고 있으며 그 수건으\n로 남의 아이템을 훔칩니다 새 아이템에 금\n세 정신 팔리는 버릇이 있습니다 훔치면 멀리\n뛰기로 달아나며 해자도 헤엄치지만 발은 빠\n르지 않고 좀처럼 공격도 안 합니다 사\n랑스러운 도둑토도의 에레키상자는 마음의\n평안에 도움이 될 겁니다\n
SYS00890	토도 계열 중 두 번째로 강한 초록 토도입\n니다 아이템을 훔치고 멀리뛰기로 달아나며 수\n중 속성이라 해자도 헤엄치지만 하나를 훔\n치면 그것을 소중히 들고 다닙니다 하지만\n공격받으면 가끔 분열해 늘어난 만큼 또 아\n이템을 훔칩니다 이 초록토도의 에레키상자는\n분열하지 않도록 개량해 수습 불가능한 사태를\n막았습니다\n
SYS00891	토도 계열 중 최강인 강철 토도입니다 수건\n다루는 솜씨가 뛰어나 남이 장비한 아이템까\n지 훔치고 멀리뛰기로 달아나며 수중 속성이라\n해자도 헤엄칩니다 공격받으면 가끔\n분열해 늘어난 만큼 또 아이템을 훔칩니다 도\n난 방지용 장비가 중요합니다 이 아이언토도의\n에레키상자는 분열 능력을 없애 회수하기 쉽게\n만들었습니다\n
SYS00895	보야는 나무 화살을 쏘는 몬스터입니다 보야 계\n열 중 가장 약한 초록 모자 쓴 아이입니\n다 화살을 쏠 수 있는 직선상에 들어올 때까지\n다가오므로 이동에 주의하며 인접합시다 이 보\n야의 에레키상자는 장착하면 나무 화살을 마음\n껏 쏠 수 있습니다 벽을 향해 쏘면 나중에 많은\n나무 화살을 회수합니다 귀여운 척해도\n제 몫은 하는 녀석입니다\n
#
# --- 05_아이템명 ---
# ★디버그(×) 이름은 원문이 한자 2글자라 한글도 2글자로
SYS02224	×견인
SYS02225	×마박
SYS02221	×대풍
SYS02230	×함정밟
SYS01861	던지면 관통한다
SYS01862	독 안 받음
SYS01157	5\x03\x15\t\x08\x01메아리방패
SYS01167	:\x03\x1A\t\x08\x01지뢰나바리방패
SYS01199	O\x03*\t\x06\x02황천무녀신방패
#
# --- 04_몬스터 : 거대 병합 구간 2개 ---
SYS00997	우시와카마루 계열 중 가장 약한\n우시와카마루는 카리기누에 사시누키 차림\n도깨비 얼굴 곤봉을 들고 초록 윤기 나는\n머리카락이 특징입니다 날아온 아이템은\n곤봉으로 튕겨내고 특수능력으로 인접한\n상대의 HP를 서서히 줄이는 주문을 씁니다\n에레키상자도 같습니다 HP를 줄이는\n주문은 중첩되고 양도 늡니다\n
SYS01013	가시드래곤은 가시드래곤 계열 중 가장 약한\n갈색 등딱지에 초록 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 되받아칩니다\n에레키상자도 같습니다\n
SYS01016	가시드래곤은 가시드래곤 계열 중 가장 약한\n갈색 등딱지에 초록 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 되받아칩니다\n에레키상자도 같습니다\n
SYS01014	어스니들은 가시드래곤 계열 중 두 번째로 강한\n파란 등딱지에 옥색 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 상대에게 되받아칩니다\n에레키상자도 같습니다\n
SYS01017	어스니들은 가시드래곤 계열 중 두 번째로 강한\n파란 등딱지에 옥색 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 상대에게 되받아칩니다\n에레키상자도 같습니다\n
SYS01015	선더랜스는 가시드래곤 계열 중 최강인\n주황 등딱지에 황록 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 상대에게 되받아칩니다\n에레키상자도 같습니다\n
SYS01018	선더랜스는 가시드래곤 계열 중 최강인\n주황 등딱지에 황록 얼굴의 드래곤입니다\n얼굴을 내밀 땐 평범하지만 얼굴과 손발을\n등딱지에 넣어 공 모양이 되면 인접 8방향\n전부를 적아 구분 없이 공격하고 인접 공격의\n데미지 일부를 상대에게 되받아칩니다\n에레키상자도 같습니다\n
SYS00944	까마귀 텐구 계열 중 최강인 검독수리텐구는\n두건에 흰 버선 연보라 날개의 몬스터지만\n그 층의 다른 적으로 변신해\n등장하므로 정체를 드러내는 건 쓰러지는\n순간이나 능력이 봉인됐을 때뿐입니다\n모습만 흉내낼 뿐 속과 능력은 못 냅니다\n에레키상자도 아군일 때도 장착 시에도\n다른 모습으로 변신합니다\n
SYS00972	연분홍 갑옷의 이아이는 켄고 계열\n중 두 번째로 강하며 장비한 무기나 방패를\n튕겨 날리는 능력이 있습니다 튕겨나간\n무기와 방패는 운 좋게 땅에 떨어지면 회수도\n되지만 누군가에게 맞으면 사라집니다\n이 에레키상자는 몬스터에게서 무기나 방패를\n튕겨 날립니다 장착하면 대량의 무기나\n방패를 얻을 수 있습니다\n
SYS00956	배속으로 은화살을 쏘는 아바레우마쇼군은\n우마무샤 계열 중 두 번째로 강한 보라 갑옷\n켄타우로스입니다 은화살은 벽도 적도 아군도\n관통해 어디까지든 닿습니다 방에선 직선상에\n서지 않도록 주의합시다\n에레키상자도 의욕이 넘쳐 적을 잡기\n위해서라면 아군에 맞는 것도 개의치 않고\n은화살을 쏘는 열혈파입니다\n
SYS00957	배속으로 은화살을 쏘는 미다레우마오는\n우마무샤 계열 중 최강인 검은 갑옷\n켄타우로스입니다 은화살은 벽도 적도 아군도\n관통해 어디까지든 닿습니다 방에선 직선상에\n서지 않도록 주의합시다\n에레키상자도 의욕이 넘쳐 적을 잡기\n위해서라면 아군에 맞는 것도 개의치 않고\n은화살을 쏘는 열혈파입니다\n
SYS00947	초키라이는 다이키라이 계열 중 최강인\n메탈 레드의 폭탄입니다 HP가 절반 이하가\n되면 자폭합니다 자폭이라 해도 화염이라\n세로가로 5칸 마름모 범위에 불기둥이\n솟습니다 또 불기둥이나 화염에 맞으면\n유폭합니다 이 초키라이의 에레키상자는\n자폭도 유폭도 재현돼 있어 동료가 많은 분은\n주의가 필요합니다\n
SYS00945	다이키라이는 다이키라이 계열 중 가장 약한\n메탈 블루의 폭탄입니다 HP가 절반 이하가\n되면 자폭합니다 폭발은 지뢰 함정과 같이\n인접 8칸에 영향을 줍니다 또 지뢰를 맞으면\n유폭하며 지뢰 쪽도 다이키라이로 유폭되므로\n연쇄에 충분히 주의합시다 이 다이키라이의\n에레키상자는 자폭・유폭이 재현돼 있어\n취급에 주의가 필요합니다\n
SYS00991	자간가면은 자간가면 계열 중 가장 약한\n구리에 보라 줄무늬의 이국 사자(死者)\n가면을 쓴 고스트입니다 30턴 만에 죽음에\n이르는 저주를 겁니다 이 죽음의 저주는\n건 본인을 쓰러뜨리거나 액막이 족자로\n풀 수 있습니다 이 에레키상자도\n죽음의 저주를 쓸 수 있게\n됩니다 상자로 되돌리면 발동 중인 저주는\n사라집니다\n
SYS01009	먹색 모자의 어둠모자는 그늘모자 계열 중 최강인\n난쟁이입니다 난쟁이일 때는 1배속으로 빙의하며\n풀리면 3배속의 외눈모자가 되어 둥실둥실 떠서\n나이프와 포크로 공격합니다 에레키상자는\n눈앞 상대에게 20턴 빙의합니다\n특기는 못 쓰지만 데미지는 그 몸이 대신\n받으므로 그동안 무적입니다 L트리거로 풀립니다\n
SYS01012	먹색 모자의 어둠모자는 그늘모자 계열 중 최강인\n난쟁이입니다 난쟁이일 때는 1배속으로 빙의하며\n풀리면 3배속의 외눈모자가 되어 둥실둥실 떠서\n나이프와 포크로 공격합니다 에레키상자는\n눈앞 상대에게 20턴 빙의합니다\n특기는 못 쓰지만 데미지는 그 몸이 대신\n받으므로 그동안 무적입니다 L트리거로 풀립니다\n
SYS00942	까마귀 텐구 계열 중 가장 약한 까마귀텐구는\n두건에 흰 버선 노란 날개의 몬스터지만\n그 층의 다른 적으로 변신해\n등장하므로 정체를 드러내는 건 쓰러지는\n순간이나 능력이 봉인됐을 때뿐입니다\n모습만 흉내낼 뿐 속과 능력은 못 냅니다\n에레키상자도 아군일 때도 장착 시에도\n다른 모습으로 변신합니다\n
SYS00943	까마귀 텐구 계열 중 두 번째로 강한 매텐구는\n두건에 흰 버선 하늘색 날개의 몬스터지만\n그 층의 다른 적으로 변신해\n등장하므로 정체를 드러내는 건 쓰러지는\n순간이나 능력이 봉인됐을 때뿐입니다\n모습만 흉내낼 뿐 속과 능력은 못 냅니다\n에레키상자도 아군일 때도 장착 시에도\n다른 모습으로 변신합니다\n
SYS00938	미도로 계열 최강 도도로는 장비한 무기와\n방패를 도금째 녹슬려 수정치를 -3하거나\n문양을 하나 벗기는 능력이 있습니다 녹은\n금 문양이나 녹방지 팔찌로 막지만 문양\n벗기기는 못 막습니다 당신 이외라면\n봉인됩니다 비나 물로 레벨업 공격받으면\n가끔 분열합니다 에레키상자는 물 레벨업과\n분열 이외에는 충실합니다\n
SYS00909	평소엔 투명해 눈약초가 없으면 안 보이는\n게 에테르데빌 계열입니다 흰색과 검은색\n부정형 모습에 붉은 눈의 에테르데빌은 그중\n에서도 가장 약하지만 불규칙하게 공중을 날아\n다니며 불시에 공격해오고 봉 등의 마법을\n난반사시키는 으스스한 유령입니다 이 에테르데\n빌의 에레키상자는 투명함만 뺀 능력을 모두\n재현했습니다\n
SYS00916	카엔뉴도는 전신이 불꽃인 몬스터입니다 화염초\n와 비슷한 짧은 불꽃을 내뿜어 공격합니다 아이\n템을 던져도 타버려 효과가 없고 불꽃이나 불\n기둥 공격으로 레벨업하며 폭발로 분열합니다\n이 카엔뉴도의 에레키상자는 불꽃 레벨업과\n분열 능력은 없지만 레벨 99까지 성장합니다\n유일한 약점은 케로케로 비와\n물단지의 물입니다\n
SYS00920	검은 갑옷의 쇼군은 오니멘무샤 계열 중\n최강인 전국 무장의 유령입니다 쓰러뜨린 후\n에는 어두운 집념을 끄는 사나운 혼이 보\n우레이무샤가 되어 되살아납니다 보우레이무\n샤는 다른 적에게 씌어 레벨업시킵니다 이 쇼군\n의 에레키상자는 그 능력을 충실히 재현하며\n나타나는 보우레이무샤는 적이 됩니다\n
SYS00936	흐물흐물한 초록 드레인 속성 몬스터 게도로는\n미도로 계열 중 두 번째로 약하며 장비한\n무기와 방패를 녹슬게 해 수정치를 -2하는 능\n력이 있습니다 금 문양이나 녹방지 팔찌로\n회피할 수 있습니다 당신 이외라면 방\n어력을 크게 낮춥니다 케로케로 비나 물단지\n물로 레벨업합니다 에레키상자는 물 레벨\n업 이외에는 재현했습니다\n
SYS00937	드레인 속성 몬스터 보라 오도로는 미도로 계\n열 중 두 번째로 강하며 장비한 무기와\n방패를 녹슬게 해 수정치를 -3하는 능력이 있\n고 당신 외엔 방어력을 0으로 만듭니다 금\n문양이나 녹방지 팔찌로 회피할 수 있습니다 케\n로케로 비나 물단지 물로 레벨업 공격받\n으면 가끔 분열합니다 에레키상자는 물 레벨업\n과 분열 이외에는 충실합니다\n
SYS00927	다홍색 화려한 원피스의 노로죠 어머니는\n노로죠 계열 중 최강이며 한 번에 네 개\n나 되는 아이템을 저주합니다 저주받은\n아이템은 장비를 뺄 수 없거나 사용 불가 사용\n해도 무효가 됩니다 장비만 뺄 거라면\n장비해제 함정을 쓸 수 있습니다 에레키상자는\n적을 저주해 눈멀게 하는 것 외에 장착\n시에는 소지품 저주가 풀립니다\n
SYS00899	마무루 계열 중 가장 약한 마무루는 파란 몸\n의 작은 동물입니다 손발은 없고 꼬리를 용수철\n삼아 튀어 오르며 이동합니다 먹으면 꼬리 맛\n과 씹는 맛이 최고랍니다 겉모습의 사랑스\n러움으로 인기인 마무루 에레키상자는\n고객님 니즈에 부응해 완벽한 동작으로\n마음을 편안하게 해줍니다\n참고로 본 상품은 못 먹습니다\n
SYS00906	니기리오야카타는 니기리미나라이 계열 중\n두 번째로 강하며 파란 몸을 하고 있습니다\n초록 숨을 내뿜어 남을 주먹밥으로 바꿔버릴\n정도로 주먹밥을 좋아합니다 주먹밥에 맞으면\n그야말로 큰일입니다 니기리오야카타의\n에레키상자는 쓰러뜨린 상대를 반드시 주먹밥으\n로 만드는 능력이 있습니다 먹는 데 진\n심인 당신에게\n
SYS00925	모스그린 시크한 원피스의 노로죠는 노\n로죠 계열 중 가장 약하며 한 번에 하나의\n아이템밖에 저주 못 합니다 저주받은 아이\n템은 장비를 뺄 수 없거나 사용 불가 사용해도\n무효가 됩니다 액막이 족자로 저주를 풀\n수 있습니다 에레키상자로는 적을 저주해 눈멀\n게 만들 수 있고 장착 시 방패의 저\n주를 자동으로 풀어줍니다\n
#
# --- 빠진 제어열(\x1F..)·이름 자리표시자 복원 ---
# ★`\x1F\xNN` 은 연출 대기다. 빠지면 대사가 몰아서 지나간다. 예산·인코딩 검사로는 안 잡혀
#   `tools/check_ctrl.py` 가 따로 본다.
SCR06454	미나모「뭐!?\n　아스카＠, 맞선 보는 거야?
SCR01464	두령「인간…\x1F\x0F…이……\n　구구…\x1F\x0F…
SCR06562	콧파「…\x1F\x0F…\x1F\x0F저기…\x1F\x0F…\x1F\x0F\n　저놈도 팔마천이구나
SCR07132	코가 여러분은 몸을 던져서\n　우리를 지켜 주고 계셨던 것이네\n　예전에도\x1F\x1E지금도……\x1F\xD2
SCR07134	미나모「……아니요\n　어쩔 수 없어요\x1F\x1E…\x1F\x1E…\x1F\x1E…\x1F\xB4
SCR07152	촌장「무,\x1F\x1E무슨 말씀이십니까!\x1F\x78
SCR07240	소란「으………\x1F\x1E윽……
#
# --- 쉼표를 살린 대가로 1~2 B 씩 모자란 행 (부호는 두고 다른 데서 줄였다) ---
SCR00234	보물 버리고,몸이 가벼워진 용\n속도도 붙기 시작해,기분이 아주 좋습니다
SCR00104	뱃사공「죄송하구먼.이렇게 좁은 강으론\n배가 못 지나가유\n여긴 그냥 배를 만드는 곳이구먼유
SCR00237	「으와악!!머,멈출 수 없어~!!!」
SCR01080	아스카＠「뭐라고,사이라이국에서?
SCR01797	뭐,수상쩍게 움직이는 에레키상자 같은 건\n어지간히 별난 사람 아니고서야\n갖고 싶다고 생각진 않겠지만
SCR02963	노인「그렇소.아주 어려운 시련이오\n저기 저 사내도 서른 번이나 도전했지만\n한 번도 성공 못 했으니
SCR03333	자,힘내서 고기 잡으러 가자고!
SCR03356	무라도 님은,이 마을의 풍요로운 경치와\n해산물을 몹시 마음에 드셔서
SCR04177	나온 눈 합이\n짝수면짝(丁),홀수면홀(半)이다
SCR04895	아스카＠「아니…\x1F\x0F\n실례지만,사람 잘못 본 거 아닌가?
SCR05135	아스카＠「아니…\x1F\x0F\n실례지만,사람 잘못 본 것 아니오?
SCR05281	나로 말하면.장사신\n사카이한테도 안 지는 훌륭한 상인이 될 거란다
SCR06936	폰토「아,인간!
SYS01047	돌,탄
SYS01050	풀,씨
SYS02747	곡사던지기란,직선상이 아니어도 아이템을\n적에게 던져 맞힐 수 있는 비기다\n
SYS03423	%s「이긴다,반드시!
SYS03488	%s「이,이제 틀렸어
SYS00962	배트캥거루 계열 중 두 번째로 강한\n이블캥거루는 짙은 보라와 분홍 몸에 박쥐\n날개 같은 귀가 특징입니다 손에 든 배속의\n봉을 다른 몬스터에게 휘둘러 배속으로\n만듭니다 에레키상자일 때는\n어째서인지 적 몬스터에게 봉을 휘두릅니다\n사이에 아군이 있으면 아군에게 맞습니다\n장착하면 배속의 봉을 무제한 휘두릅니다\n
SYS00998	우시와카마루 계열 중 두 번째로 강한\n쿠로마루는 카리기누에 사시누키 차림\n도깨비 얼굴 곤봉을 들고 옥색 윤기 나는\n머리카락이 특징입니다 날아온 아이템과 마법은\n곤봉으로 튕겨내고 직선상의\n상대 HP를 서서히 줄이는 주문을 씁니다\n에레키상자도 같습니다 HP를 줄이는\n주문은 중첩되고 양도 늡니다\n
SYS00999	우시와카마루 계열 중 최강인\n요시츠네마루는 카리기누에 사시누키 차림\n도깨비 얼굴 곤봉을 들고 레몬색 윤기\n나는 머리카락이 특징입니다 날아온 아이템과\n마법은 곤봉으로 튕겨내고 방 안의\n상대 HP를 서서히 줄이는 주문을 씁니다\n에레키상자도 같습니다 HP를 줄이는\n주문은 중첩되고 양도 늡니다\n
SYS01007	파란 모자의 그늘모자는 그늘모자 계열 중 가장 약한\n난쟁이입니다 난쟁이일 때는 적에게 빙의하며 풀리면\n그림자에서 나와 외눈모자가 되어 둥실둥실 떠서 나이프와\n포크로 공격합니다 에레키상자는 눈앞 상대에게 20턴\n빙의합니다 특기는 못 쓰지만 데미지는\n그 몸이 대신 받으므로 그동안 무적입니다\nL트리거로 풀립니다\n
SYS01010	파란 모자의 그늘모자는 그늘모자 계열 중 가장 약한\n난쟁이입니다 난쟁이일 때는 적에게 빙의하며 풀리면\n그림자에서 나와 외눈모자가 되어 둥실둥실 떠서 나이프와\n포크로 공격합니다 에레키상자는 눈앞 상대에게 20턴\n빙의합니다 특기는 못 쓰지만 데미지는\n그 몸이 대신 받으므로 그동안 무적입니다\nL트리거로 풀립니다\n
SYS01008	짙은 갈색 모자의 검은모자는 그늘모자 계열 중 두 번째로\n강한 난쟁이입니다 난쟁이일 때는 1배속으로 빙의하며\n풀리면 2배속의 외눈모자가 되어 둥실둥실 떠서 나이프와\n포크로 공격합니다 에레키상자는 눈앞 상대에게 20턴\n빙의합니다 특기는 못 쓰지만 데미지는\n그 몸이 대신 받으므로 그동안 무적입니다\nL트리거로 풀립니다\n
SYS01011	짙은 갈색 모자의 검은모자는 그늘모자 계열 중 두 번째로\n강한 난쟁이입니다 난쟁이일 때는 1배속으로 빙의하며\n풀리면 2배속의 외눈모자가 되어 둥실둥실 떠서 나이프와\n포크로 공격합니다 에레키상자는 눈앞 상대에게 20턴\n빙의합니다 특기는 못 쓰지만 데미지는\n그 몸이 대신 받으므로 그동안 무적입니다\nL트리거로 풀립니다\n
SCR01349	메이오우란「먹이…\x1F\x0F…\x1F\x0F를…\x1F\x0F…\x1F\x3C\n　힘…\x1F\x0F…\x1F\x0F을…\x1F\x0F…\x1F\x0F…\x1F\x0F…\x1F\x3C\n　이…\x1F\x0F…\x1F\x1E놈…\x1F\x0F…\x1F\x1E들…\x1F\x0F…\x1F\x1E
SCR01654	「굶주림에\x1F\x1E　헤매는 괴로움엔\x1F\x1E\n　주먹밥요괴도　고맙게 여겨지네～\x1F\x1E」\n　음절 초과.
SCR01055	마을 사람「메이오우란에게 조종당하던\n동안 쭉 같은 닌자 옷을 입고 있었더니\n완전히 냄새나게 되어버렸다니까
SYS00900	마무루 계열 중 두 번째로 약한\n아나구라마무루는 초록 몸의 작은\n동물입니다.손발이 없고 꼬리를\n용수철 삼아 튀어오르며 이동합니다.\n은은한 멘솔 향의 꼬리로 인기를 끄는\n아나구라마무루의 에레키상자는\n고객 니즈에 부응해 꼬리의 탄력도\n재현,향기까지 더해 마음을 풀어줍니다.\n참고로 본 상품은 먹을 수 없습니다
SYS00902	시로가네마무루는 마무루 계열과는\n격이 다른 초마무루 계열 몬스터입니다.\n어떤 공격이든 1의 피해로 만드는\n철벽의 방어력과 미노타우로스급\n공격력을 지닌 최강의 존재.은빛으로\n빛나는 시로가네마무루의 에레키상자는\n전설의 세공사 카라마츠 옹의 작품.\n손에 있는 이 기적을 부디 마음껏\n만끽해 주십시오.본 상품은 못 먹습니다
SYS00978	손에 창을 든 밝은 초록 물고기 모습의\n오토토군조는 오토토병 계열 중 두\n번째로 약한 수중 속성 몬스터입니다.\n창 공격이 수중끼리뿐 아니라 수중에서\n수상으로,또 그 반대로도 닿으며 상처\n입은 몸도 조금씩 치유합니다.\n이 에레키상자는 HP 회복은 못 해도\n아군일 때나 장착 시 모두 수중의 적을\n공격하는 청량한 일품입니다
SYS00979	손에 창을 든 주홍색 물고기 모습의\n오토토대장은 오토토병 계열 중 두\n번째로 강한 수중 속성 몬스터입니다.\n창 공격이 수중끼리뿐 아니라 수중에서\n수상으로,또 그 반대로도 닿으며 상처\n입은 몸도 조금씩 치유합니다.\n이 에레키상자는 HP 회복은 못 해도\n아군일 때나 장착 시 모두 수중의 적을\n공격합니다.빨간 옷의 귀여운 어류
SYS00980	손에 창을 든 밝은 금색 물고기 모습의\n오토토원수는 오토토병 계열 중 최강인\n수중 속성입니다.창 공격이\n수중끼리뿐 아니라 수중에서 수상으로,\n또 그 반대로도 닿으며 상처 입은 몸도\n조금씩 치유합니다.이 에레키상자는\nHP 회복은 못 해도 아군일 때나 장착 시\n모두 수중의 적을 공격합니다.\n비단잉어를 초월한 금붕어입니다
SYS01784	함정을 부수나 가끔 무기가 부서진다
SYS01810	쓰러뜨리면 경험치를 조금 더 받음
SYS01811	쓰러뜨리면 경험치를 더 많이 받음
SYS01824	피해를 받을 때마다 방어력이 줄어든다
SYS01855	공격받으면 경험치를 더 많이 받는다
SYS00977	손에 창을 든 하늘색 물고기 모습의\n오토토병은 오토토병 계열 중 가장 약한\n수중 속성입니다.창 공격뿐이지만\n이 에레키상자는 수중을 이동할 수 있어\n아군일 때나 장착 시 모두 수중의 적을\n수중에서 공격할 수 있습니다.방수성이라\n물에 젖어도 안심.시원한 한때를\n당신에게.
SYS01002	파란 큰 부리의 괴도펠리컨3세는\n괴도펠리컨 계열 중 두 번째로 강하며,\n배속으로,눈앞 상대가 가진 물건을\n빨아들이거나,던져진 물건을 4번까지\n삼킵니다.이때 공격력이 오르고 합성\n가능하면 합성합니다.에레키상자에서도\n마찬가지로,넘어지거나 쓰러졌을 때\n삼킨 물건을 떨어뜨립니다.만능\n합성 로봇으로 가장 요긴합니다.
EXE108368	가거고구기나너노누니
EXE108380	다더도두디라러로루리
EXE108398	마머모무미바버보부비
EXE1083B0	사서소수시아어오우이
EXE1083C8	개대배새재해태애　　
EXE1083E0	자저조주지차처초추치
EXE1083F8	카커코쿠키타터토투티
EXE108410	파퍼포푸피하허호후히
EXE108428	까꺼꼬꾸끼따떠또뚜띠
EXE108440	빠뻐뽀뿌삐싸써쏘쑤씨
EXE108458	짜쩌쪼쭈찌그스으　　
EXE108470	게네세에제혜예의위래
SYS01048	비기
SYS04836	불꽃
SYS04837	불꽃
SGL05EAD0	봉
SGL060262	돌
SYS01138	봉
SYS01321	돌
SYS03350	포기한다
SYS03351	포기한다
SYS03620	벼락을 맞았다
SYS03621	벼락을 맞았다
SYS03650	벼락을 맞았다
SYS03651	벼락을 맞았다
SYS03799	특기
SYS03872	타입 C
SYS04008	딱 맞지
SYS04009	딱 맞지
SYS04764	우시와카
SYS04765	우시와카
SYS04792	안 됨
SYS04793	안 됨
SYS04795	아직 안 됐음
SYS04796	아직 안 됐음
SYS04798	안 됐음
SYS04799	안 됐음
SYS04839	화살표
SYS01060	장권
SYS01061	장권
SYS01078	미노타우로스도끼
SYS01079	미노타우로스도끼
SYS01082	외눈사냥꾼
SYS01083	외눈사냥꾼
SYS01129	쇠약의가지
SYS01134	목망치
SYS01135	목망치
SYS01169	강치방패
SYS01170	강치방패
SYS01245	간발차이팔찌
SYS01246	간발차이팔찌
SYS01299	목화살
SYS01300	목화살
SYS01347	새까만주먹밥
SYS01348	새까만주먹밥
SYS01497	가지고가기족자
