=== DATAAPP.BIN  (612352 B, 청크 4) ===
   0x0003CB00      3456 B  fmt 0402    64x64    fm_umi_A1_0002
   0x0003D880      3456 B  fmt 0402    64x64    fm_umi_A1_0003
   0x0003E600      3456 B  fmt 0402    64x64    fm_umi_A1_0004
   0x0003F380      3456 B  fmt 0402    64x64    fm_umi_A1_0005
   0x00040100      3456 B  fmt 0402    64x64    fm_umi_A1_0006
   0x00040E80      3456 B  fmt 0402    64x64    fm_umi_A1_0007
   0x00041C00      3456 B  fmt 0402    64x64    fm_umi_A1_0008
   0x00042980      3456 B  fmt 0402    64x64    fm_umi_A1_0009
   0x00043700      3456 B  fmt 0402    64x64    fm_umi_A1_0010
   0x00044480      3456 B  fmt 0402    64x64    fm_umi_A1_0011
   0x00045200      3456 B  fmt 0402    64x64    fm_umi_A1_0012
   0x00045F80      3456 B  fmt 0402    64x64    fm_umi_A1_0013
   0x00046D00      3456 B  fmt 0402    64x64    fm_umi_A1_0014
   0x00047A80      3456 B  fmt 0402    64x64    fm_umi_A1_0015
   0x00048800      3456 B  fmt 0402    64x64    fm_umi_A1_0016
   0x00049580      3456 B  fmt 0402    64x64    fm_umi_A1_0017
   0x0004A300      3456 B  fmt 0402    64x64    fm_umi_A1_0018
   0x0004B080      3456 B  fmt 0402    64x64    fm_umi_A1_0019
   0x0004BE00      3456 B  fmt 0402    64x64    fm_umi_A1_0020
   0x0004CB80      3456 B  fmt 0402    64x64    fm_umi_A1_0021
   0x0004D900      3456 B  fmt 0402    64x64    fm_umi_A1_0022
   0x0004E680      3456 B  fmt 0402    64x64    fm_umi_A1_0023
   0x0004F400      3456 B  fmt 0402    64x64    fm_umi_A1_0024
   0x00050180      3456 B  fmt 0402    64x64    fm_umi_A1_0025
   0x00050F00      3456 B  fmt 0402    64x64    fm_umi_A1_0026
   0x00051C80      3456 B  fmt 0402    64x64    fm_umi_A1_0027
   0x00052A00      3456 B  fmt 0402    64x64    fm_umi_A1_0028
   0x00054800      3456 B  fmt 0402    64x64    fm_umi_A2_0000
   0x00055580      3456 B  fmt 0402    64x64    fm_umi_A2_0001
   0x00056300      3456 B  fmt 0402    64x64    fm_umi_A2_0002
   0x00057080      3456 B  fmt 0402    64x64    fm_umi_A2_0003
   0x00057E00      3456 B  fmt 0402    64x64    fm_umi_A2_0004
   0x00058B80      3456 B  fmt 0402    64x64    fm_umi_A2_0005
   0x00059900      3456 B  fmt 0402    64x64    fm_umi_A2_0006
   0x0005A680      3456 B  fmt 0402    64x64    fm_umi_A2_0007
   0x0005B400      3456 B  fmt 0402    64x64    fm_umi_A2_0008
   0x0005C180      3456 B  fmt 0402    64x64    fm_umi_A2_0009
   0x0005CF00      3456 B  fmt 0402    64x64    fm_umi_A2_0010
   0x0005DC80      3456 B  fmt 0402    64x64    fm_umi_A2_0011
   0x0005EA00      3456 B  fmt 0402    64x64    fm_umi_A2_0012
   0x0005F780      3456 B  fmt 0402    64x64    fm_umi_A2_0013
   0x00060500      3456 B  fmt 0402    64x64    fm_umi_A2_0014
   0x00061280      3456 B  fmt 0402    64x64    fm_umi_A2_0015
   ... 외 473개

=== DATAKAN.BIN  (3086336 B, 청크 154) ===
   0x00000000     16416 B  fmt 0902   128x64    h_00
   0x00004020     16416 B  fmt 0902   128x64    h_01
   0x00008040     16416 B  fmt 0902   128x64    h_02
   0x0000C060      8224 B  fmt 0102    64x64    m_00
   0x0000E080      2080 B  fmt 0102    32x32    m_01
   0x0000E8A0     16416 B  fmt 0902   128x64    m_03
   0x000128C0     16416 B  fmt 0902    64x128   t_00
   0x0001B000      2080 B  fmt 0102    32x32    suiteki00
   0x0001B820      2080 B  fmt 0102    32x32    suiteki01
   0x0001C040     32800 B  fmt 0102   128x128   hamon00
   0x0002C800      8224 B  fmt 0102    64x64    m_00
   0x0002E820      2080 B  fmt 0102    32x32    m_01
   0x0002F040      4128 B  fmt 0902    64x32    m_02
   0x00030060     16416 B  fmt 0902    64x128   t_00
   0x00034080     16416 B  fmt 0902    64x128   t_01
   0x00039000      8224 B  fmt 0102    64x64    b_00
   0x0003B020      8224 B  fmt 0102    64x64    b_01
   0x0003D040      8224 B  fmt 0102    64x64    b_02
   0x0003F060      8224 B  fmt 0102    64x64    b_03
   0x00041080      8224 B  fmt 0102    64x64    b_04
   0x00045800     32800 B  fmt 0102   128x128   kumo00
   0x0004D820     32800 B  fmt 0102   128x128   kumo01
   0x00055840     32800 B  fmt 0102   128x128   kumo02
   0x00066000      8224 B  fmt 0102    64x64    ani78_00
   0x00068020      8224 B  fmt 0102    64x64    ani78_01
   0x0006A040      8224 B  fmt 0102    64x64    ani78_02
   0x0006C060      8224 B  fmt 0102    64x64    ani78_03
   0x0006E080      8224 B  fmt 0102    64x64    ani78_04
   0x00072800    131104 B  fmt 0102   256x256   nami
   0x00092820    131104 B  fmt 0102   256x256   shibuki
   0x000B2840     32800 B  fmt 0102   128x128   shibuki00
   0x000BA860     32800 B  fmt 0102   128x128   shibuki01
   0x000C2880     32800 B  fmt 0102   128x128   ef_umi04_moyou
   0x000EB000     32800 B  fmt 0102   128x128   ef_umi04_moyou
   0x00113800      8224 B  fmt 0102    64x64    a_00
   0x00118000      8224 B  fmt 0102    64x64    sef01h_01
   0x0011A020      8224 B  fmt 0102    64x64    sef01h_02
   0x0011E800      8224 B  fmt 0102    64x64    sef67kem
   0x00125800      8224 B  fmt 0102    64x64    dokuya00
   0x00128800      8224 B  fmt 0102    64x64    sef07_fiar00
   0x0012A820      2080 B  fmt 0102    32x32    sef08_fiar03
   0x0012B040      8224 B  fmt 0102    64x64    sef08_fiar07
   0x0012D060      2080 B  fmt 0102    32x32    sef07_hiba_00
   0x00130000      8224 B  fmt 0102    64x64    sef07_fiar00
   0x00132020      2080 B  fmt 0102    32x32    sef08_fiar03
   0x00132840      8224 B  fmt 0102    64x64    sef08_fiar07
   0x00134860      8224 B  fmt 0102    64x64    sef07_wa02
   0x00139000     32800 B  fmt 0102   128x128   sef06_isi
   0x00141020     32800 B  fmt 0102   128x128   sef06_isi01
   0x0014E000     32800 B  fmt 0102   128x128   sef06_isi
   0x00156020      8224 B  fmt 0102    64x64    sef67kem
   0x00158040     32800 B  fmt 0102   128x128   sef06_isi01
   0x00161000      2080 B  fmt 0102    32x32    sef13hane
   0x00161820      8224 B  fmt 0102    64x64    sef13iga
   0x00166000      8224 B  fmt 0102    64x64    sef14mizu
   0x00169000     32800 B  fmt 0102   128x128   fiar04
   0x00173800      2080 B  fmt 0102    32x32    sef02inz00
   0x00174020      2080 B  fmt 0102    32x32    sef02inz01
   0x00177000      2080 B  fmt 0102    32x32    sef35_hika00
   0x00177820       544 B  fmt 0102    16x16    sef35_hika01
   ... 외 94개

=== DATAMAS.BIN  (4413440 B, 청크 142) ===
   0x00000000     32800 B  fmt 0102   128x128   nagare
   0x00008020     32800 B  fmt 0102   128x128   nagare1
   0x00010040      8224 B  fmt 0102    64x64    awa09
   0x00012880     32800 B  fmt 0102   128x128   h_00_02
   0x00023000     32800 B  fmt 0102   128x128   suisya0
   0x0002B020     32800 B  fmt 0102   128x128   suisya1
   0x00033040     32800 B  fmt 0102   128x128   suisya2
   0x0003B060     32800 B  fmt 0102   128x128   suisya3
   0x00043080     32800 B  fmt 0102   128x128   suisya4
   0x0004B0A0     32800 B  fmt 0102   128x128   suisya5
   0x000530C0     32800 B  fmt 0102   128x128   suisya6
   0x0005B0E0     32800 B  fmt 0102   128x128   suisya7
   0x00063100     32800 B  fmt 0102   128x128   suisya8
   0x0006B120     32800 B  fmt 0102   128x128   suisya9
   0x00073140     32800 B  fmt 0102   128x128   suisya10
   0x0007B160     32800 B  fmt 0102   128x128   suisya11
   0x00083180     32800 B  fmt 0102   128x128   suisya12
   0x0008B1A0     32800 B  fmt 0102   128x128   suisya13
   0x000931C0     32800 B  fmt 0102   128x128   suisya14
   0x0009B1E0     32800 B  fmt 0102   128x128   suisya15
   0x000A3200     32800 B  fmt 0102   128x128   suisya16
   0x000AB220     32800 B  fmt 0102   128x128   suisya17
   0x000B3240     32800 B  fmt 0102   128x128   suisya18
   0x000C3800    131104 B  fmt 0101   256x256   gia_01
   0x000E3820    131104 B  fmt 0101   256x256   gia_02
   0x00103840    131104 B  fmt 0101   256x256   gia_03_1
   0x00123860     32800 B  fmt 0101   128x128   gia_03_2
   0x0012B880      8224 B  fmt 0101    64x64    nezi05_00
   0x0012D8A0      8224 B  fmt 0101    64x64    nezi05_01
   0x0012F8C0      8224 B  fmt 0101    64x64    nezi05_02
   0x001318E0      8224 B  fmt 0101    64x64    nezi05_03
   0x00133900      8224 B  fmt 0101    64x64    nezi05_04
   0x00135920      8224 B  fmt 0101    64x64    nezi05_05
   0x00137940      8224 B  fmt 0101    64x64    nezi05_06
   0x00139960      8224 B  fmt 0101    64x64    nezi05_07
   0x0013B980      8224 B  fmt 0101    64x64    nezi05_08
   0x0013D9A0      8224 B  fmt 0101    64x64    nezi05_09
   0x0013F9C0    131104 B  fmt 0101   256x256   gia_05_1
   0x0015F9E0    131104 B  fmt 0101   256x256   gia_06_1
   0x0017FA00    131104 B  fmt 0101   256x256   gia_07_1
   0x0019FA20     32800 B  fmt 0101   128x128   gia_07_2
   0x001A7A40      8224 B  fmt 0101    64x64    nezi01_00
   0x001A9A60      8224 B  fmt 0101    64x64    nezi01_02
   0x001ABA80      8224 B  fmt 0101    64x64    nezi01_04
   0x001ADAA0      8224 B  fmt 0101    64x64    nezi01_06
   0x001AFAC0      8224 B  fmt 0101    64x64    nezi01_08
   0x001B1AE0      8224 B  fmt 0101    64x64    nezi01_10
   0x001B3B00      8224 B  fmt 0101    64x64    nezi01_12
   0x001B5B20      8224 B  fmt 0101    64x64    nezi01_14
   0x001B7B40      8224 B  fmt 0101    64x64    nezi01_16
   0x001B9B60      8224 B  fmt 0101    64x64    nezi01_18
   0x001BBB80       160 B  fmt 0102     8x8     rou_01
   0x001BBC20       160 B  fmt 0102     8x8     rou_02
   0x001BBCC0       160 B  fmt 0102     8x8     rou_03
   0x001BBD60      2080 B  fmt 0102    32x32    bonbon01
   0x001BC580      2080 B  fmt 0102    32x32    bonbon02
   0x001BCDA0      2080 B  fmt 0102    32x32    bonbon03
   0x001BE000     32800 B  fmt 0102   128x128   nagare
   0x001C6020     32800 B  fmt 0102   128x128   nagare1
   0x001CE040      8224 B  fmt 0102    64x64    awa09
   ... 외 82개

=== DATANAS.BIN  (10151936 B, 청크 599) ===
   0x00000000    131104 B  fmt 0102   256x256   kiri1
   0x00020020      8224 B  fmt 0102    64x64    ef51_umi0000
   0x00022040      8224 B  fmt 0102    64x64    ef51_umi0001
   0x00024060      8224 B  fmt 0102    64x64    ef51_umi0002
   0x00026080      8224 B  fmt 0102    64x64    ef51_umi0003
   0x000280A0      8224 B  fmt 0102    64x64    ef51_umi0004
   0x0002A0C0      8224 B  fmt 0102    64x64    ef51_umi0005
   0x0002C0E0      8224 B  fmt 0102    64x64    ef51_umi0006
   0x0002E100      8224 B  fmt 0102    64x64    ef51_umi0007
   0x00030120      8224 B  fmt 0102    64x64    ef51_umi0008
   0x00032140      8224 B  fmt 0102    64x64    ef51_umi0009
   0x00036800     32800 B  fmt 0102   128x128   f01_a00_0000
   0x0003E820     32800 B  fmt 0102   128x128   f01_a00_0001
   0x00046840     32800 B  fmt 0102   128x128   f01_a00_0002
   0x0004E860     32800 B  fmt 0102   128x128   f01_a00_0003
   0x00056880     32800 B  fmt 0102   128x128   f01_a00_0004
   0x0005E8A0     32800 B  fmt 0102   128x128   f01_a00_0005
   0x000668C0     32800 B  fmt 0102   128x128   f01_a00_0006
   0x0006E8E0     32800 B  fmt 0102   128x128   f01_a00_0007
   0x00076900     32800 B  fmt 0102   128x128   f01_a00_0008
   0x0007E920     32800 B  fmt 0102   128x128   f01_a00_0009
   0x00086940     32800 B  fmt 0102   128x128   f01_a00_0010
   0x0008E960     32800 B  fmt 0102   128x128   f01_a00_0011
   0x00096980     32800 B  fmt 0102   128x128   f01_a00_0012
   0x0009E9A0     32800 B  fmt 0102   128x128   f01_a00_0013
   0x000A69C0     32800 B  fmt 0102   128x128   f01_a00_0014
   0x000AE9E0     32800 B  fmt 0102   128x128   f01_a00_0015
   0x000B6A00     32800 B  fmt 0102   128x128   f01_a00_0016
   0x000BEA20     32800 B  fmt 0102   128x128   f01_a00_0017
   0x000C6A40     32800 B  fmt 0102   128x128   f01_a00_0018
   0x000CEA60     32800 B  fmt 0102   128x128   f01_a00_0019
   0x000D6A80     32800 B  fmt 0102   128x128   f01_a01_0000
   0x000DEAA0     32800 B  fmt 0102   128x128   f01_a01_0001
   0x000E6AC0     32800 B  fmt 0102   128x128   f01_a01_0002
   0x000EEAE0     32800 B  fmt 0102   128x128   f01_a01_0003
   0x000F6B00     32800 B  fmt 0102   128x128   f01_a01_0004
   0x000FEB20     32800 B  fmt 0102   128x128   f01_a01_0005
   0x00106B40     32800 B  fmt 0102   128x128   f01_a01_0006
   0x0010EB60     32800 B  fmt 0102   128x128   f01_a01_0007
   0x00116B80     32800 B  fmt 0102   128x128   f01_a01_0008
   0x0011EBA0     32800 B  fmt 0102   128x128   f01_a01_0009
   0x00126BC0     32800 B  fmt 0102   128x128   f01_a01_0010
   0x0012EBE0     32800 B  fmt 0102   128x128   f01_a01_0011
   0x00136C00     32800 B  fmt 0102   128x128   f01_a01_0012
   0x0013EC20     32800 B  fmt 0102   128x128   f01_a01_0013
   0x00146C40     32800 B  fmt 0102   128x128   f01_a01_0014
   0x0014EC60     32800 B  fmt 0102   128x128   f01_a01_0015
   0x00156C80     32800 B  fmt 0102   128x128   f01_a01_0016
   0x0015ECA0     32800 B  fmt 0102   128x128   f01_a01_0017
   0x00166CC0     32800 B  fmt 0102   128x128   f01_a01_0018
   0x00177000     32800 B  fmt 0102   128x128   akari
   0x00187800      2080 B  fmt 0102    32x32    awa1_01
   0x00188020      2080 B  fmt 0102    32x32    awa1_02
   0x00188840      2080 B  fmt 0102    32x32    awa1_03
   0x00189060      2080 B  fmt 0102    32x32    awa1_04
   0x00189880     32800 B  fmt 0102   128x128   h_00_01
   0x001918A0     32800 B  fmt 0102   128x128   h_02
   0x001998C0      8224 B  fmt 0102    64x64    m_00
   0x0019B8E0      2080 B  fmt 0102    32x32    t_0b_0c
   0x0019C100      2080 B  fmt 0102    32x32    t_0d
   ... 외 539개

=== DATAOBJ.BIN  (53950464 B, 청크 89) ===
   0x00034800      8224 B  fmt 0102    64x64    sef00a_00
   0x00036820      8224 B  fmt 0102    64x64    sef00m_01
   0x00038840      8224 B  fmt 0102    64x64    sef01h_01
   0x0003A860       544 B  fmt 0102    16x16    sef35_hika01
   0x0003AA80      8224 B  fmt 0102    64x64    sef67kem
   0x0003CAA0      8224 B  fmt 0102    64x64    sef02sho_02
   0x0003EAC0      8224 B  fmt 0102    64x64    sef02inz00
   0x00040AE0      8224 B  fmt 0102    64x64    sef02inz01
   0x00042B00      8224 B  fmt 0102    64x64    sef07_fiar00
   0x00044B20      2080 B  fmt 0102    32x32    sef08_fiar03
   0x00045340      8224 B  fmt 0102    64x64    sef08_fiar07
   0x00047360      8224 B  fmt 0102    64x64    sef07_wa02
   0x00049380      2080 B  fmt 0102    32x32    sef07_hiba_00
   0x00049BA0      7552 B  fmt 0402   128x128   sef06_isi
   0x0004B920      7552 B  fmt 0402   128x128   sef06_isi01
   0x0004D6A0      2080 B  fmt 0102    32x32    sef107hokori
   0x0004DEC0      2080 B  fmt 0102    32x32    sef13hane
   0x0004E6E0      8224 B  fmt 0102    64x64    sef13iga
   0x00050700      8224 B  fmt 0102    64x64    sef14mizu
   0x00052720      2080 B  fmt 0102    32x32    sef41_hoshi
   0x00052F40      8224 B  fmt 0102    64x64    sef53_bt00
   0x00054F60      8224 B  fmt 0102    64x64    fiar06
   0x00056F80      2080 B  fmt 0102    32x32    sef41_flash
   0x000577A0      2080 B  fmt 0102    32x32    sef41_hoshi2
   0x00057FC0      2080 B  fmt 0102    32x32    sef41_wa
   0x000587E0      8224 B  fmt 0102    64x64    sef33_ceyc000
   0x0005A800      2080 B  fmt 0102    32x32    sef33_moji
   0x0005B020      2080 B  fmt 0102    32x32    sef62_ring_ray
   0x0005B840      8224 B  fmt 0102    64x64    sef43wawave
   0x0005D860      8224 B  fmt 0102    64x64    sef100_ha
   0x0005F880       544 B  fmt 0102    16x16    sef62_beam00
   0x0005FAA0       544 B  fmt 0102    16x16    sef62_beam01
   0x0005FCC0      2080 B  fmt 0102    32x32    sef62_tama01
   0x000604E0      8224 B  fmt 0102    64x64    sef66syo
   0x00062500      2080 B  fmt 0102    32x32    sef66syo2
   0x00062D20      8224 B  fmt 0102    64x64    sef69pika2
   0x00064D40      8224 B  fmt 0102    64x64    sef116pika
   0x00066D60      8224 B  fmt 0102    64x64    sef67kemuri2
   0x00068D80      2080 B  fmt 0102    32x32    sef106hikari
   0x000695A0      8224 B  fmt 0102    64x64    sef69supa-ku
   0x0006B5C0      2080 B  fmt 0102    32x32    sef69tama
   0x0006BDE0      2080 B  fmt 0102    32x32    sef35_hika00
   0x0006C600      8224 B  fmt 0102    64x64    sef40_taiyo
   0x0006E620      2080 B  fmt 0102    32x32    sef07_hiba_01
   0x0006EE40      8224 B  fmt 0102    64x64    sef35_hika02
   0x00070E60      2080 B  fmt 0500    64x64    sef92_hahen
   0x00071680       160 B  fmt 0102     8x8     dummy8
   0x00071720       160 B  fmt 0102     8x8     dummy8
   0x000717C0       160 B  fmt 0102     8x8     dummy8
   0x00071860       160 B  fmt 0102     8x8     dummy8
   0x00071900       160 B  fmt 0102     8x8     dummy8
   0x000719A0       160 B  fmt 0102     8x8     dummy8
   0x00071A40       160 B  fmt 0102     8x8     dummy8
   0x00071AE0       160 B  fmt 0102     8x8     dummy8
   0x00071B80       160 B  fmt 0102     8x8     dummy8
   0x00071C20      2080 B  fmt 0102    32x32    sef205dai
   0x00072440       160 B  fmt 0102     8x8     dummy8
   0x000724E0      2080 B  fmt 0102    32x32    sef095
   0x00072D00      2080 B  fmt 0102    32x32    sef78_syuri
   0x00073520       160 B  fmt 0102     8x8     dummy8
   ... 외 29개

=== DATARND.BIN  (9279488 B, 청크 68) ===
   0x00000000    524320 B  fmt 0100   512x512   RM00_A
   0x00080020     32800 B  fmt 0100   128x128   RM00_B
   0x00088040     32800 B  fmt 0100   128x128   RM00_C
   0x00090060      8224 B  fmt 0500   128x128   RM02_D
   0x00092080     32800 B  fmt 0102   128x128   RM00_E
   0x0009C800    524320 B  fmt 0100   512x512   RM01_A
   0x0011C820     32800 B  fmt 0100   128x128   RM01_B
   0x00124840     32800 B  fmt 0100   128x128   RM01_C
   0x0012C860      8224 B  fmt 0500   128x128   RM02_D
   0x0012E880     32800 B  fmt 0102   128x128   RM01_E
   0x00139000    524320 B  fmt 0100   512x512   RM02_A
   0x001B9020     32800 B  fmt 0100   128x128   RM02_B
   0x001C1040     32800 B  fmt 0100   128x128   RM02_C
   0x001C9060      8224 B  fmt 0500   128x128   RM02_D
   0x001CB080     32800 B  fmt 0102   128x128   RM02_E
   0x001D30A0      8224 B  fmt 0500   128x128   RM02_F
   0x001DD800    524320 B  fmt 0100   512x512   RM03_A
   0x0025D820     32800 B  fmt 0100   128x128   RM03_B
   0x00265840     32800 B  fmt 0100   128x128   RM03_C
   0x0026D860      8224 B  fmt 0500   128x128   RM02_D
   0x0026F880     32800 B  fmt 0102   128x128   RM03_E
   0x0027A000    524320 B  fmt 0100   512x512   RM04_A
   0x002FA020     32800 B  fmt 0100   128x128   RM04_B
   0x00302040     32800 B  fmt 0100   128x128   RM04_C
   0x0030A060      8224 B  fmt 0500   128x128   RM02_D
   0x0030C080     32800 B  fmt 0102   128x128   RM04_E
   0x00316800    524320 B  fmt 0100   512x512   RM05_A
   0x00396820     32800 B  fmt 0100   128x128   RM05_B
   0x0039E840     32800 B  fmt 0100   128x128   RM05_C
   0x003A6860      8224 B  fmt 0500   128x128   RM02_D
   0x003A8880     32800 B  fmt 0102   128x128   RM05_E
   0x003B3000    524320 B  fmt 0100   512x512   RM06_A
   0x00433020     32800 B  fmt 0100   128x128   RM06_B
   0x0043B040     32800 B  fmt 0100   128x128   RM06_C
   0x00443060      8224 B  fmt 0500   128x128   RM02_D
   0x00445080     32800 B  fmt 0102   128x128   RM06_E
   0x0044F800    524320 B  fmt 0100   512x512   RM07_A
   0x004CF820     32800 B  fmt 0100   128x128   RM07_B
   0x004D7840     32800 B  fmt 0100   128x128   RM07_C
   0x004DF860      8224 B  fmt 0500   128x128   RM02_D
   0x004E1880     32800 B  fmt 0102   128x128   RM07_E
   0x004E98A0      8224 B  fmt 0500   128x128   RM02_F
   0x004F4000    524320 B  fmt 0100   512x512   RM10_A
   0x00574020     32800 B  fmt 0100   128x128   RM10_B
   0x0057C040     32800 B  fmt 0100   128x128   RM10_C
   0x00584060      8224 B  fmt 0500   128x128   RM02_D
   0x00586080     32800 B  fmt 0102   128x128   RM10_E
   0x00590800    524320 B  fmt 0100   512x512   RM11_A
   0x00610820     32800 B  fmt 0100   128x128   RM11_B
   0x00618840     32800 B  fmt 0100   128x128   RM11_C
   0x00620860      8224 B  fmt 0500   128x128   RM02_D
   0x00622880     32800 B  fmt 0102   128x128   RM11_E
   0x0062A8A0      8224 B  fmt 0500   128x128   RM02_F
   0x00635000    524320 B  fmt 0100   512x512   RM12_A
   0x006B5020     32800 B  fmt 0100   128x128   RM12_B
   0x006BD040     32800 B  fmt 0100   128x128   RM12_C
   0x006C5060      8224 B  fmt 0500   128x128   RM02_D
   0x006C7080     32800 B  fmt 0102   128x128   RM12_E
   0x006D1800    524320 B  fmt 0100   512x512   RM13_A
   0x00751820     32800 B  fmt 0100   128x128   RM11_B
   ... 외 8개

=== DATASZU.BIN  (169984 B, 청크 9) ===
   0x00000000     32800 B  fmt 0500   256x256   system
   0x00008020      8224 B  fmt 0102    64x64    cursor0
   0x0000A040      8224 B  fmt 0102    64x64    cursor1
   0x0000C060      8224 B  fmt 0102    64x64    window0
   0x0000E080     65568 B  fmt 0701   256x256   item2
   0x0001E0A0      8224 B  fmt 0102    64x64    ForceTitle
   0x000200C0      2080 B  fmt 0102    32x32    ForceOne
   0x000208E0      2080 B  fmt 0102    32x32    ForceDec
   0x00021100     16416 B  fmt 0701   128x128   n_fonticon00
