SSCR.BIN: 1건
DATASCR.BIN: 80건
DATASCR.BIN 0x151DB (48 B) | <10>カヤエ「とくに頭領は、\n　人望もあつかった……。
DATASCR.BIN 0x46D76 (90 B) | <FF><10>アスカ＠「しかし、人々の顔が沈んでいる。\n　やはり、頭領どのの話どおり、\n　八魔天が……。
DATASCR.BIN 0x7592A (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x75A5C (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x7C061 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x7C193 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x81DDC (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x81F0E (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x87DAC (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x87EDE (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x8E832 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x8E964 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x94DF0 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x94F22 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0x9BF53 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0x9C085 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0xA26B0 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0xA27E2 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0xA9D31 (36 B) | <01><10>ラグーン「ほう……鋼賀村の頭領か。
DATASCR.BIN 0xA9E63 (34 B) | <10>ラグーン「おおぅ!\n　鋼賀の頭領か!
DATASCR.BIN 0xB3606 (74 B) | <01><03><10>　うむ。そうだ。\n　わしらはなんとしても、\n　頭領さんを助けにゃいかん!\x1F\x78
DATASCR.BIN 0xB4882 (26 B) | <09>�P<02>�頭領「ミナモ……。\x1F\x3C
DATASCR.BIN 0xB4A27 (94 B) | <01>a"<10>頭領「ワシからも、鋼賀を代表して\n　お礼申し上げます。\n　本当に、ありがとうございました。\x1F\xB4
DATASCR.BIN 0xB4B9E (32 B) | <01>a"<10>頭領「顔をあげてくだされ。\x1F\x3C
DATASCR.BIN 0xB4D54 (28 B) | <10><10>忍者たち「頭領ーーーー!!\x1F\x78
DATASCR.BIN 0xB4E81 (66 B) | <10>村人達「おお、頭領さんがなおった!\n　よかった!\n　本当によかった!\x1F\x78
SSCR.BIN 0x5082D (4 B) | 頭領
